wavelength,Fluoranthene,Anthracene,Pyrene,Benzo[a]pyrene,Benzo[a]anthracene,Dibenzo[ah]anthracene,Chrysene,Benzo[ghi]perylene,Benzo[b]anthracene,Benzo[e]pyrene
328,4464,2367,11351,3963,6422,9954,957,4285,275,18923
329,4379,2513,10000,4413,6386,9380,316,5033,275,19895
330,4294,2618,12136,4686,6240,10136,182,6189,257,26232
331,4210,3017,15930,4958,5952,11364,130,6785,251,32246
332,4215,3395,19044,5318,5747,14112,101,6261,251,40696
333,4398,3935,54082,5249,5554,14867,154,5393,241,29474
334,4581,4255,37291,5255,5108,16003,154,4592,220,21341
335,4675,4632,19300,5086,4987,15808,154,4047,211,13206
336,4859,4981,10101,4920,5086,14475,100,3650,206,6699
337,5043,5411,8000,4929,5276,13713,260,3486,193,4907
338,5405,5842,3896,5025,5456,10860,260,3608,193,3277
339,5856,6300,3130,5474,5998,9908,72,3956,193,2460
340,6576,5968,941,6099,6522,7671,99,4387,184,2132
341,7027,4928,879,6904,7070,6672,205,5036,184,1449
342,7300,4379,815,8148,7407,6291,152,5584,188,1221
343,7126,3829,753,9127,7184,5907,205,6410,201,1074
344,6774,3552,692,10241,6985,6088,258,7358,201,765
345,6421,3521,660,11176,6130,6656,418,8254,210,650
346,6158,3517,628,12245,6009,7222,391,9154,229,634
347,5805,3943,680,12960,5623,8167,204,9920,239,650
348,5631,4238,617,13053,5418,10249,150,10387,261,698
349,5457,4561,498,12804,4779,12335,177,10152,272,698
350,5462,5536,493,12194,4484,14418,257,9809,272,600
351,5467,5694,430,11847,4189,13844,363,8948,284,518
352,5471,6119,369,11151,3646,10994,363,8070,302,469
353,5476,6303,366,10457,3646,7380,309,7620,310,420
354,5660,7000,362,10109,3851,5669,309,7299,324,403
355,5575,8355,300,10298,4019,3197,362,7362,324,387
356,6206,9100,297,10570,4310,2055,201,7979,338,403
357,6568,8563,294,11990,4501,1671,201,8598,353,435
358,7288,7625,230,13499,4753,1097,255,9701,353,434
359,7829,6500,343,16952,5079,618,201,10758,353,434
360,7298,5296,340,18813,5253,139,334,11794,352,401
361,6765,4400,276,20678,4921,0,628,13079,368,352
362,6056,3741,244,22715,3873,130,627,15013,384,303
363,5256,3200,212,24312,2957,0,574,17432,402,270
364,4635,2800,150,26001,2900,0,520,19555,419,286
365,4015,2584,144,26184,2800,0,413,21936,457,302
366,3394,2501,82,25576,2426,0,306,25179,499,464
367,3041,2472,138,24879,2077,0,198,25181,544,610
368,2689,2549,192,23299,1667,0,172,23236,594,414
369,2246,2700,129,21454,1330,0,118,18897,620,349
370,1894,3720,66,17582,775,0,118,15725,648,267
371,1631,4385,122,15736,642,0,117,13390,691,218
372,1368,4623,118,13979,437,91,117,11938,738,169
373,1373,4568,71,13016,389,277,90,10401,771,136
374,1109,4858,23,12501,377,461,90,9167,770,120
375,1025,6672,19,12861,413,647,89,8756,705,87
376,940,8753,19,14545,424,644,116,8656,737,103
377,767,8617,19,17202,376,259,169,8960,675,53
378,772,7572,19,21535,320,0,182,9600,674,53
379,687,6101,19,24194,285,0,195,11019,645,53
380,602,4896,19,24819,243,0,142,12081,566,36
381,607,3600,19,26416,189,0,141,14189,591,36
382,611,2593,19,25984,146,0,141,15735,591,35
383,527,2110,19,26346,206,0,141,18062,603,35
384,531,1760,17,30594,363,0,141,19575,644,35
385,447,1400,14,30602,796,0,140,21708,673,18
386,452,1193,12,29639,772,223,167,26696,734,18
387,456,1058,10,27882,531,0,140,29605,813,17
388,283,760,7,21537,181,0,139,29948,913,65
389,10,651,5,15986,133,0,139,23802,1040,32
390,10,487,2,10876,72,0,112,12801,1185,32
391,10,404,0,7798,24,0,85,6806,1411,32
392,10,322,0,5953,0,0,31,4878,1474,32
393,10,293,0,5078,0,0,0,3967,1916,15
394,10,277,0,5176,0,188,0,3378,2065,15
395,10,261,0,4303,0,566,0,2876,1914,15
396,10,258,0,3343,0,752,0,2477,1832,15
397,10,175,0,2204,0,555,0,1696,1445,15
398,10,146,0,1245,0,0,0,777,1182,15
399,10,91,0,901,0,0,0,404,1131,15
400,10,9,0,819,0,0,0,299,908,15
401,0,0,0,0,0,0,0,227,0,0
402,0,0,0,0,0,0,0,225,0,0
403,0,0,0,0,0,0,0,241,0,0
404,0,0,0,0,0,0,0,289,0,0
405,0,0,0,0,0,0,0,394,0,0
406,0,0,0,0,0,0,0,538,0,0
407,0,0,0,0,0,0,0,491,0,0
408,0,0,0,0,0,0,0,227,0,0
409,0,0,0,0,0,0,0,171,0,0
410,0,0,0,0,0,0,0,149,0,0
411,0,0,0,0,0,0,0,112,0,0
