wavelength,Phenanthrene,Naphthalene,Fluorene,Acenaphthene,Benzo[b]fluorene,Perylene,Benzanthrone,Benzo[b]fluoranthene,Benzo[k]fluoranthene,Benzo[a]fluorene
364,0,0,0,0,0,4220,6284,6946,4956,0
365,0,0,0,0,0,4469,6357,6773,3889,0
366,0,0,0,0,0,4572,6505,6511,4312,0
367,0,0,0,0,0,4679,6581,6428,3884,0
368,0,0,0,0,0,4733,6657,6705,4306,0
369,0,0,0,0,0,4788,6734,6709,4730,0
370,0,0,0,0,0,4844,6658,6984,5153,0
371,0,0,0,0,0,4900,6735,6452,5151,0
372,0,0,0,0,0,5014,6813,5830,5575,0
373,0,0,0,0,0,5189,6813,4672,5573,0
374,0,0,0,0,0,5432,6893,3960,5144,0
375,0,0,0,0,0,5885,6973,2622,4716,0
376,0,0,0,0,0,6523,7053,2179,6416,0
377,0,0,0,0,0,7148,7301,1649,8967,0
378,0,0,0,0,0,7744,7386,1385,12369,0
379,0,0,0,0,0,8781,7645,1122,16622,0
380,0,0,0,0,0,10073,7733,1039,17470,0
381,0,0,0,0,0,10189,8097,955,17042,0
382,0,0,0,0,0,10789,8191,782,15338,0
383,0,0,0,0,0,11295,8381,430,13209,0
384,0,0,0,0,0,11690,8576,615,5971,0
385,0,0,0,0,0,12238,8877,623,5544,0
386,0,0,0,0,0,12240,9189,628,5116,0
387,0,0,0,0,0,11965,9403,547,4475,0
388,0,0,0,0,0,11696,9621,464,3834,0
389,0,0,0,0,0,11433,9845,468,3832,0
390,0,0,0,0,0,10924,9960,295,3830,0
391,0,0,0,0,0,10679,9960,33,4254,0
392,0,0,0,0,0,10680,9961,2,5528,0
393,0,0,0,0,0,10681,10077,0,6375,0
394,0,0,0,0,0,10930,10077,0,6373,0
395,0,0,0,0,0,11442,10194,0,5946,0
396,0,0,0,0,0,12396,9964,0,4667,0
397,0,0,0,0,0,14057,9851,0,3812,0
398,0,0,0,0,0,15761,9518,0,4236,0
399,0,0,0,0,0,15943,9410,0,5085,0
400,0,0,0,0,0,17075,8989,0,8913,0
401,0,0,0,0,0,17876,8587,0,14442,0
402,0,0,0,0,0,19366,8108,0,20397,0
403,0,0,0,0,0,21221,7570,0,23372,0
404,0,0,0,0,0,23791,7067,0,18689,0
405,0,0,0,0,0,24906,6374,0,12305,0
406,0,0,0,0,0,26074,6089,0,6770,0
407,0,0,0,0,0,26679,5684,0,1236,0
408,0,0,0,0,0,26989,5246,0,809,0
409,0,0,0,0,0,26083,4842,0,381,0
410,0,0,0,0,0,24083,4468,0,379,0
411,0,0,0,0,0,21734,4077,0,377,0
412,0,0,0,0,0,19170,3720,0,0,0
413,0,0,0,0,0,17103,3355,0,0,0
414,0,0,0,0,0,15612,2958,0,0,0
415,0,0,0,0,0,14580,2668,0,0,0
416,0,0,0,0,0,14091,2352,0,0,0
417,0,0,0,0,0,13933,2097,0,0,0
418,0,0,0,0,0,13934,1913,0,0,0
419,0,0,0,0,0,14096,1687,0,0,0
420,0,0,0,0,0,14423,1487,0,0,0
421,0,0,0,0,0,15273,1296,0,0,0
422,0,0,0,0,0,16358,1155,0,0,0
423,0,0,0,0,0,17925,1019,0,0,0
424,0,0,0,0,0,20327,878,0,0,0
425,0,0,0,0,0,22275,810,0,0,0
426,0,0,0,0,0,24409,674,0,0,0
427,0,0,0,0,0,26747,581,0,0,0
428,0,0,0,0,0,28001,500,0,0,0
429,0,0,0,0,0,28980,446,0,0,0
430,0,0,0,0,0,29654,0,0,0,0
431,0,0,0,0,0,31043,0,0,0,0
432,0,0,0,0,0,32129,0,0,0,0
433,0,0,0,0,0,33254,0,0,0,0
434,0,0,0,0,0,34026,0,0,0,0
435,0,0,0,0,0,33644,0,0,0,0
436,0,0,0,0,0,31063,0,0,0,0
437,0,0,0,0,0,26781,0,0,0,0
438,0,0,0,0,0,17756,0,0,0,0
439,0,0,0,0,0,14132,0,0,0,0
440,0,0,0,0,0,10503,0,0,0,0
441,0,0,0,0,0,8171,0,0,0,0
442,0,0,0,0,0,5735,0,0,0,0
443,0,0,0,0,0,4166,0,0,0,0
444,0,0,0,0,0,2731,0,0,0,0
445,0,0,0,0,0,2053,0,0,0,0
446,0,0,0,0,0,1579,0,0,0,0
447,0,0,0,0,0,1201,0,0,0,0
448,0,0,0,0,0,945,0,0,0,0
449,0,0,0,0,0,796,0,0,0,0
450,0,0,0,0,0,656,0,0,0,0
